Price,Close
Ticker,AAPL
Date,
2020-01-02,72.40050506591797
2020-01-03,71.69664764404297
2020-01-06,72.2679443359375
2020-01-07,71.92804718017578
2020-01-08,73.08511352539062
2020-01-09,74.63750457763672
2020-01-10,74.80623626708984
2020-01-13,76.40443420410156
2020-01-14,75.37271881103516
2020-01-15,75.04969024658203
2020-01-16,75.98980712890625
2020-01-17,76.83110046386719
2020-01-21,76.3104019165039
2020-01-22,76.58279418945312
2020-01-23,76.95160675048828
2020-01-24,76.72982788085938
2020-01-27,74.47357940673828
2020-01-28,76.58041381835938
2020-01-29,78.18341064453125
2020-01-30,78.07010650634766
2020-01-31,74.60856628417969
2020-02-03,74.40367889404297
2020-02-04,76.86002349853516
2020-02-05,77.48674774169922
2020-02-06,78.39311981201172
2020-02-07,77.32750701904297
2020-02-10,77.69482421875
2020-02-11,77.22607421875
2020-02-12,79.05999755859375
2020-02-13,78.49702453613281
2020-02-14,78.51634216308594
2020-02-18,77.07866668701172
2020-02-19,78.1949691772461
2020-02-20,77.39277648925781
2020-02-21,75.64098358154297
2020-02-24,72.04801940917969
2020-02-25,69.60758209228516
2020-02-26,70.71180725097656
2020-02-27,66.08952331542969
2020-02-28,66.05086517333984
2020-03-02,72.20023345947266
2020-03-03,69.90721130371094
2020-03-04,73.14982604980469
2020-03-05,70.77708435058594
2020-03-06,69.8371353149414
2020-03-09,64.3135757446289
2020-03-10,68.94551849365234
2020-03-11,66.551025390625
2020-03-12,59.978797912597656
2020-03-13,67.1647720336914
2020-03-16,58.524208068847656
2020-03-17,61.097530364990234
2020-03-18,59.60186004638672
2020-03-19,59.14519119262695
2020-03-20,55.390323638916016
2020-03-23,54.213600158691406
2020-03-24,59.65260314941406
2020-03-25,59.324005126953125
2020-03-26,62.44581604003906
2020-03-27,59.86039733886719
2020-03-30,61.56869888305664
2020-03-31,61.44305419921875
2020-04-01,58.21009826660156
2020-04-02,59.181434631347656
2020-04-03,58.33091354370117
2020-04-06,63.41954040527344
2020-04-07,62.68500900268555
2020-04-08,64.28939819335938
2020-04-09,64.7533187866211
2020-04-13,66.02428436279297
2020-04-14,69.35869598388672
2020-04-15,68.72563171386719
2020-04-16,69.27172088623047
2020-04-17,68.33179473876953
2020-04-20,66.91346740722656
2020-04-21,64.84515380859375
2020-04-22,66.71292877197266
2020-04-23,66.45437622070312
2020-04-24,68.3729019165039
2020-04-27,68.42121124267578
2020-04-28,67.3121566772461
2020-04-29,69.52304077148438
2020-04-30,70.98970031738281
2020-05-01,69.84680938720703
2020-05-04,70.83503723144531
2020-05-05,71.89820098876953
2020-05-06,72.64000701904297
2020-05-07,73.39144897460938
2020-05-08,75.13829803466797
2020-05-11,76.32061767578125
2020-05-12,75.44840240478516
2020-05-13,74.53743743896484
2020-05-14,74.99536895751953
2020-05-15,74.55196380615234
2020-05-18,76.30850982666016
2020-05-19,75.8675765991211
2020-05-20,77.34302520751953
2020-05-21,76.76641845703125
2020-05-22,77.26066589355469
2020-05-26,76.73735046386719
2020-05-27,77.0716781616211
2020-05-28,77.1055908203125
2020-05-29,77.03050231933594
2020-06-01,77.97782897949219
2020-06-02,78.33882141113281
2020-06-03,78.77006530761719
2020-06-04,78.0916976928711
2020-06-05,80.31581115722656
2020-06-08,80.79068756103516
2020-06-09,83.34188842773438
2020-06-10,85.48607635498047
2020-06-11,81.38185119628906
2020-06-12,82.0844497680664
2020-06-15,83.09960174560547
2020-06-16,85.30192565917969
2020-06-17,85.18323516845703
2020-06-18,85.21712493896484
2020-06-19,84.73015594482422
2020-06-22,86.94700622558594
2020-06-23,88.80289459228516
2020-06-24,87.23533630371094
2020-06-25,88.39342498779297
2020-06-26,85.6774673461914
2020-06-29,87.65206146240234
2020-06-30,88.38373565673828
2020-07-01,88.216552734375
2020-07-02,88.216552734375
2020-07-06,90.57635498046875
2020-07-07,90.29533386230469
2020-07-08,92.3983154296875
2020-07-09,92.79566192626953
2020-07-10,92.95796966552734
2020-07-13,92.52914428710938
2020-07-14,94.06036376953125
2020-07-15,94.70723724365234
2020-07-16,93.54187774658203
2020-07-17,93.35289764404297
2020-07-20,95.3202133178711
2020-07-21,94.00464630126953
2020-07-22,94.26871490478516
2020-07-23,89.97795104980469
2020-07-24,89.75505065917969
2020-07-27,91.88224792480469
2020-07-28,90.37284851074219
2020-07-29,92.10516357421875
2020-07-30,93.21964263916016
2020-07-31,102.97869110107422
2020-08-03,105.5735092163086
2020-08-04,106.27855682373047
2020-08-05,106.66378021240234
2020-08-06,110.38517761230469
2020-08-07,107.8755111694336
2020-08-10,109.44343566894531
2020-08-11,106.18861389160156
2020-08-12,109.71770477294922
2020-08-13,111.65946197509766
2020-08-14,111.5599594116211
2020-08-17,111.26866912841797
2020-08-18,112.19585418701172
2020-08-19,112.33662414550781
2020-08-20,114.8293228149414
2020-08-21,120.74678039550781
2020-08-24,122.19094848632812
2020-08-25,121.18850708007812
2020-08-26,122.8365478515625
2020-08-27,121.36811828613281
2020-08-28,121.17153930664062
2020-08-31,125.28070831298828
2020-09-01,130.2709503173828
2020-09-02,127.57196807861328
2020-09-03,117.3584213256836
2020-09-04,117.43611907958984
2020-09-08,109.53324890136719
2020-09-09,113.90216064453125
